"","MetabID","NameANDPutName","Name","Formula","MW","RT","KEGGPathways","PutaID_Formula","PutaID_MzColudHits","PutaID_MassHits","PutaID_KEGG","PutaID_Chemspider","PutaID_BioCyc_asName"," PutaID_BioCyc_asPathw"
"1385","138.07894_3.475","PutID_ChemS_10128258_:(E)-N-Hydroxy-1-(1-methyl-1,4-dihydro-2-pyridinyl)methanimine_ppm:0; 119388_:(4-Hydrazinophenyl)methanol_ppm:0; 94267_:2-Ethoxy-6-methylpyrazine_ppm:0; 95320_:2-Ethoxy-5-methylpyrazine_ppm:0; 4934595_:2-Methoxy-3,5-dimethylpyrazine_ppm:0; 109585_:2-Ethoxy-3-methylpyrazine_ppm:0; 30627_:2-Ethyl-3-methoxypyrazine_ppm:0; 11481_:4-Methoxy-1,3-benzenediamine_ppm:0","","C7 H10 N2 O","138.07894","3.475","","C7 H10 N2 O_ppm:-2.67_Ifit:96MatchedIso.:2","","","","PutID_ChemS_10128258_:(E)-N-Hydroxy-1-(1-methyl-1,4-dihydro-2-pyridinyl)methanimine_ppm:0; 119388_:(4-Hydrazinophenyl)methanol_ppm:0; 94267_:2-Ethoxy-6-methylpyrazine_ppm:0; 95320_:2-Ethoxy-5-methylpyrazine_ppm:0; 4934595_:2-Methoxy-3,5-dimethylpyrazine_ppm:0; 109585_:2-Ethoxy-3-methylpyrazine_ppm:0; 30627_:2-Ethyl-3-methoxypyrazine_ppm:0; 11481_:4-Methoxy-1,3-benzenediamine_ppm:0","PutID_BioCyc_4-hydroxymethylphenylhydrazine_ID:4-HYDROXYMETHYLPHENYLHYDRAZINE_ppm:-2.672",""
"1386","171.05313_3.48","PutID_KEGG_C12108:5-Amino-5-deoxy-3-dehydroshikimate; C21249:Cetoniacytone B; C03972:2,3,4,5-Tetrahydrodipicolinate; C03972; C12108; C17356; C21249:2,3,4,5-Tetrahydrodipicolinate; 5-Amino-5-deoxy-3-dehydroshikimate; 2-Formyloxymethylclavam; Cetoniacytone B","","C7 H9 N O4","171.05313","3.48","Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Biosynthesis of amino acids;Other","C7 H9 N O4_ppm:-0.14_Ifit:84MatchedIso.:2","","","PutID_KEGG_C12108:5-Amino-5-deoxy-3-dehydroshikimate; C21249:Cetoniacytone B; C03972:2,3,4,5-Tetrahydrodipicolinate; C03972; C12108; C17356; C21249:2,3,4,5-Tetrahydrodipicolinate; 5-Amino-5-deoxy-3-dehydroshikimate; 2-Formyloxymethylclavam; Cetoniacytone B","PutID_ChemS_30791684_:[(3R,5S)-7-Oxo-4-oxa-1-azabicyclo[3.2.0]hept-3-yl]methyl formate_ppm:0; 391769_:(4S,5R)-5-Amino-4-hydroxy-3-oxo-1-cyclohexene-1-carboxylic acid_ppm:0; 389168_:(2S)-2,3,4,5-Tetrahydro-2,6-pyridinedicarboxylic acid_ppm:0; 612_:2,3,4,5-Tetrahydro-2,6-pyridinedicarboxylic acid_ppm:0","PutID_BioCyc_5-amino-5-deoxy-3-dehydroshikimate_ID:CPD-10230_ppm:-0.142","META:PWY-5979_3-amino-5-hydroxybenzoate biosynthesis_ref:5-amino-5-deoxy-3-dehydroshikimate_compoundUsed:20; META:PWY-5993_superpathway of rifamycin B biosynthesis_ref:5-amino-5-deoxy-3-dehydroshikimate_compoundUsed:42"
"1387","178.06256_3.48","PutID_ChemS_13630303_:3-(4-Methylphenyl)-2-oxiranecarboxylic acid_ppm:0; 254697_:o-Anisaldehyde, 5-acetyl-_ppm:0; 8617670_:iso-Sclerone_ppm:0; 73359_:Phenyl 3-oxobutanoate_ppm:0; 151595_:3,4-Dihydro-3,8-dihydroxy-1(2H)-naphthalenone_ppm:0; 231033_:furfuryl ether_ppm:0; 62932_:2-Oxo-4-phenylbutanoic acid_ppm:0; 14610_:Ethyl oxophenylacetate_ppm:0; 4444167_:coniferyl aldehyde_ppm:0; 609479_:(E)-4-Methoxycinnamic acid_ppm:0","","","178.06256","3.48","","","","","","PutID_ChemS_13630303_:3-(4-Methylphenyl)-2-oxiranecarboxylic acid_ppm:0; 254697_:o-Anisaldehyde, 5-acetyl-_ppm:0; 8617670_:iso-Sclerone_ppm:0; 73359_:Phenyl 3-oxobutanoate_ppm:0; 151595_:3,4-Dihydro-3,8-dihydroxy-1(2H)-naphthalenone_ppm:0; 231033_:furfuryl ether_ppm:0; 62932_:2-Oxo-4-phenylbutanoic acid_ppm:0; 14610_:Ethyl oxophenylacetate_ppm:0; 4444167_:coniferyl aldehyde_ppm:0; 609479_:(E)-4-Methoxycinnamic acid_ppm:0","PutID_BioCyc_coniferaldehyde_ID:CONIFERYL-ALDEHYDE_ppm:-2.419; 4-methoxycinnamate_ID:CPD-11884_ppm:-2.419; (3S)-β-methyl-phenylpyruvate_ID:CPD-15344_ppm:-2.419; 2-oxo-4-phenylbutanoate_ID:CPD-15326_ppm:-2.419; phenyl acetoacetate_ID:CPD-8881_ppm:-2.419; vermelone_ID:CPD-15156_ppm:-2.419","META:PWY-6302_dihydroconiferyl alcohol biosynthesis_ref:coniferaldehyde_compoundUsed:4; META:PWY-6027_capsiconiate biosynthesis_ref:coniferaldehyde_compoundUsed:4; META:PWY-83_monolignol glucosides biosynthesis_ref:coniferaldehyde_compoundUsed:5; META:PWY-5168_ferulate and sinapate biosynthesis_ref:coniferaldehyde_compoundUsed:10; META:PWY-361_phenylpropanoid biosynthesis_ref:coniferaldehyde_compoundUsed:17; META:PWY-7275_L-homophenylalanine biosynthesis_ref:2-oxo-4-phenylbutanoate_compoundUsed:38"
"1388","184.08464_3.481","PutID_ChemS_2206_:barbital_ppm:0","","C8 H12 N2 O3","184.08464","3.481","","C8 H12 N2 O3_ppm:-0.83_Ifit:85MatchedIso.:2","","","","PutID_ChemS_2206_:barbital_ppm:0","PutID_BioCyc_barbital_ID:BARBITAL_ppm:-0.834",""
"1389","136.00552_3.487","S_4-Toluic acid","S_4-Toluic acid","","136.00552","3.487","","","PutID_Mz_N1-[1-(2-Phenylacetyl)-4-piperidyl]-2-phenylacetamide_simScore:97.6; 4-Toluic acid_score:86.4; 2-Methylbenzoic acid_score:89.3","","","","",""
"1390","288.07896_3.487","PutID_ChemS_167566_:5,6-Dihydroxy-7-phenyl-1H-phenalen-1-one_ppm:0; 9646582_:2-Hydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one_ppm:0; 2035535_:2-Hydroxy-4-(4-hydroxyphenyl)-1H-phenalen-1-one_ppm:0","","C7 H16 N2 O10","288.07896","3.487","","C3 H12 N8 O8_ppm:3.98_Ifit:100MatchedIso.:1; C5 H19 N6 O2 P3_ppm:2.51_Ifit:58MatchedIso.:2; C12 H12 N6 O S_ppm:-1.29_Ifit:72MatchedIso.:2; C6 H13 N10 P S_ppm:2.29_Ifit:75MatchedIso.:2; C11 H18 N2 O3 P2_ppm:-1.07_Ifit:78MatchedIso.:2; C11 H16 N2 O5 S_ppm:3.35_Ifit:77MatchedIso.:2; C9 H21 O6 P S_ppm:-2.39_Ifit:90MatchedIso.:2; C7 H16 N2 O10_ppm:-5.34_Ifit:91MatchedIso.:2","","","","PutID_ChemS_167566_:5,6-Dihydroxy-7-phenyl-1H-phenalen-1-one_ppm:0; 9646582_:2-Hydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one_ppm:0; 2035535_:2-Hydroxy-4-(4-hydroxyphenyl)-1H-phenalen-1-one_ppm:0","PutID_BioCyc_lachnanthocarpone_ID:CPD-12203_ppm:1.085","META:PWY-6438_phenylphenalenone biosynthesis_ref:lachnanthocarpone_compoundUsed:4"
"1391","457.20495_3.49","","","C20 H31 N3 O9","457.20495","3.49","","C18 H34 N7 O P3_ppm:2.59_Ifit:42MatchedIso.:2; C24 H31 N3 O4 S_ppm:3.11_Ifit:31MatchedIso.:3; C23 H32 N5 O P S_ppm:-3.43_Ifit:32MatchedIso.:3; C22 H36 N O5 P S_ppm:-0.5_Ifit:33MatchedIso.:3; C26 H28 N5 O P_ppm:3.94_Ifit:57MatchedIso.:4; C14 H32 N7 O8 P_ppm:-0.1_Ifit:60MatchedIso.:4; C24 H33 N3 O2 P2_ppm:0.33_Ifit:62MatchedIso.:4; C22 H38 N O3 P3_ppm:-3.29_Ifit:64MatchedIso.:4; C16 H27 N9 O7_ppm:3.51_Ifit:71MatchedIso.:4; C20 H31 N3 O9_ppm:-2.36_Ifit:81MatchedIso.:4","","","","","",""
"1392","128.04474_3.493","S_N1-(5-Methylisoxazol-3-yl)-N2-(2-oxoazepan-3-yl)ethanediamide","S_N1-(5-Methylisoxazol-3-yl)-N2-(2-oxoazepan-3-yl)ethanediamide","C2 H4 N6 O","128.04474","3.493","","C2 H4 N6 O_ppm:0.64_Ifit:56MatchedIso.:2","PutID_Mz_N1-(5-Methylisoxazol-3-yl)-N2-(2-oxoazepan-3-yl)ethanediamide_simScore:98.4; Ethyl 3,5-dimethyl-4-{[(2-oxo-3-azepanyl)amino]sulfonyl}-1H-pyrrole-2-carboxylate_simScore:98.5; 4-Piperidinecarboxamide_score:85.3","","","","",""
"1393","93.03276_3.504","","","C4 H3 N3","93.03276","3.504","","C4 H3 N3_ppm:0.63_Ifit:67MatchedIso.:2","","","","","",""
"1394","486.24663_3.505","S_1-(2-Morpholinophenyl)dihydro-1H-pyrrole-2,5-dione","S_1-(2-Morpholinophenyl)dihydro-1H-pyrrole-2,5-dione","C25 H34 N4 O6","486.24663","3.505","","C17 H38 N6 O8 S_ppm:-1.14_Ifit:71MatchedIso.:2; C18 H34 N10 O4 S_ppm:-3.89_Ifit:76MatchedIso.:2; C19 H43 N4 O4 P S2_ppm:0.61_Ifit:79MatchedIso.:2; C20 H44 N2 O5 P2 S_ppm:4.14_Ifit:82MatchedIso.:2; C21 H38 N6 O3 S2_ppm:4.01_Ifit:84MatchedIso.:2; C19 H35 N8 O5 P_ppm:-0.36_Ifit:67MatchedIso.:3; C17 H40 N6 O6 P2_ppm:-3.76_Ifit:69MatchedIso.:3; C18 H39 N4 O9 P_ppm:2.39_Ifit:70MatchedIso.:3; C21 H30 N10 O4_ppm:3.04_Ifit:72MatchedIso.:3; C25 H34 N4 O6_ppm:-2.48_Ifit:76MatchedIso.:3","PutID_Mz_Imazamox_simScore:81.6; ATHPINACA isomer 2_simScore:83.8; CUMYL-THPINACA_simScore:83.8; 1-(2-Morpholinophenyl)dihydro-1H-pyrrole-2,5-dione_simScore:84.2; Decanoyl-coenzyme A_simScore:90.4","","","","",""
"1395","274.06431_3.507","PutID_ChemS_9992823_:4-Phenyl-1H,3H-benzo[de]isochromene-1,3-dione_ppm:-0.001; 28927_:flufenisal_ppm:0; 10672_:1-Butyl-3-(3,4-dichlorophenyl)-1-methylurea_ppm:0","","C9 H19 Cl O5 S","274.06431","3.507","","C9 H15 N4 O2 P S_ppm:-3.74_Ifit:38MatchedIso.:2; C8 H19 O6 P S_ppm:1.14_Ifit:40MatchedIso.:2; C10 H16 N2 O3 P2_ppm:2.53_Ifit:66MatchedIso.:2; C8 H21 O4 P3_ppm:-3.51_Ifit:83MatchedIso.:2; C6 H14 N2 O10_ppm:-1.96_Ifit:91MatchedIso.:2; C4 H16 Cl N8 P S_ppm:-0.62_Ifit:36MatchedIso.:3; C11 H16 Cl N2 O2 P_ppm:1.88_Ifit:71MatchedIso.:4; C9 H21 Cl O3 P2_ppm:-4.15_Ifit:77MatchedIso.:4; C10 H15 Cl N4 O S_ppm:-4.38_Ifit:76MatchedIso.:5; C9 H19 Cl O5 S_ppm:0.5_Ifit:79MatchedIso.:5","","","","PutID_ChemS_9992823_:4-Phenyl-1H,3H-benzo[de]isochromene-1,3-dione_ppm:-0.001; 28927_:flufenisal_ppm:0; 10672_:1-Butyl-3-(3,4-dichlorophenyl)-1-methylurea_ppm:0","",""
"1396","272.10498_3.508","S_2-Methylbenzoic acid","S_2-Methylbenzoic acid","C16 H16 O4","272.10498","3.508","Biosynthesis of secondary metabolites;Other","C17 H12 N4_ppm:-4.48_Ifit:47MatchedIso.:3; C16 H16 O4_ppm:0.44_Ifit:71MatchedIso.:3","PutID_Mz_2-(Acetylamino)-4-phenylbutanoic acid_simScore:85; N-[(S)-(+)-1-Ethoxycarbonyl-3-phenylpropyl]-L-alanine_simScore:85.4; 4-Phenylbutyric acid_simScore:85.9; 4-Benzyl-N-(3,5-dimethyl-4-isoxazolyl)tetrahydro-1(2H)-pyrazinecarboxamide_simScore:89.3; Ethyl 3-[(4-methylphenyl)sulfonyl]-9-oxo-3-azabicyclo[3.3.1]nonane-7-carboxylate_simScore:91.6; FR 145237_simScore:96.2; N1-[1-(2-Phenylacetyl)-4-piperidyl]-2-phenylacetamide_simScore:97.6; Nateglinide_simScore:99.7; 4-Toluic acid_score:86.4; 2-Methylbenzoic acid_score:89.3; Phenylacetic acid_score:91.1","","PutID_KEGG_C16225:(-)-Vestitol; C18133:Deoxyshikonin","PutID_ChemS_2339843_:5C-aglycone_ppm:0; 514489_:UNII:H281Z02913_ppm:0; 154266_:vestitol_ppm:0; 158516_:(3R)-3-(2-Hydroxy-4-methoxyphenyl)-7-chromanol_ppm:0; 391096_:9-Methoxy-2,2-dimethyl-3,4-dihydro-2H-benzo[g]chromene-5,10-dione_ppm:0; 4444284_:3,3'-dimethoxystilbene-4,4'-diol_ppm:0; 69800_:Phenyl(2,4,6-trimethoxyphenyl)methanon_ppm:0; 9760_:(+)-eleutherin_ppm:0; 148386_:2',6'-dihydroxy-4'-methoxydihydrochalcone_ppm:0; 89341_:5,8-Dihydroxy-2-(4-methyl-3-pentenyl)naphthoquinone_ppm:0","PutID_BioCyc_7,2'-dihydroxy-4'-methoxyisoflavan_ID:CPD-17501_ppm:0.437; (-)-vestitol_ID:CPD-9366_ppm:0.437; 4,4'-dihydroxy-3,3'-dimethoxystilbene_ID:12-BIS4-HYDROXY-3-METHOXYPHENYLETHYLE_ppm:0.437; deoxyshikonin_ID:CPD-9321_ppm:0.437","META:PWY-5701_shikonin biosynthesis_ref:deoxyshikonin_compoundUsed:2; META:PWY-5729_vestitol and sativan biosynthesis_ref:(-)-vestitol_compoundUsed:2; META:PWY-7615_pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)_ref:7,2'-dihydroxy-4'-methoxyisoflavan_compoundUsed:2"
"1397","240.07649_3.512","","","C4 H14 Cl N8 P","240.07649","3.512","","C11 H16 N2 S2_ppm:4.17_Ifit:69MatchedIso.:2; C9 H21 O P S2_ppm:-2.72_Ifit:76MatchedIso.:2; C8 H17 O6 P_ppm:0.9_Ifit:80MatchedIso.:2; C3 H12 N8 O3 S_ppm:4.93_Ifit:70MatchedIso.:2; C11 H8 N6 O_ppm:2.21_Ifit:70MatchedIso.:2; C9 H13 N4 O2 P_ppm:-4.67_Ifit:76MatchedIso.:2; C10 H21 Cl S2_ppm:-3.45_Ifit:75MatchedIso.:3; C9 H17 Cl O5_ppm:0.16_Ifit:77MatchedIso.:3; C4 H14 Cl N8 P_ppm:-1.11_Ifit:80MatchedIso.:3","","","","","",""
"1398","292.08931_3.517","PutID_ChemS_5826_:Ethylenediaminetetraacetic acid_ppm:0.001","","C14 H16 N2 O3 S","292.08931","3.517","","C6 H12 N8 O6_ppm:4.54_Ifit:100MatchedIso.:1; C22 H12 O_ppm:1.68_Ifit:72MatchedIso.:2; C14 H18 N2 O P2_ppm:-0.45_Ifit:96MatchedIso.:2; C10 H16 N2 O8_ppm:-4.66_Ifit:72MatchedIso.:2; C12 H21 O4 P S_ppm:-1.75_Ifit:86MatchedIso.:2; C14 H16 N2 O3 S_ppm:3.91_Ifit:95MatchedIso.:2","","","","PutID_ChemS_5826_:Ethylenediaminetetraacetic acid_ppm:0.001","PutID_BioCyc_2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole_ID:CPD-20001_ppm:3.911",""
"1399","182.05785_3.518","PutID_KEGG_C05582:Homovanillate; C03672:3-(4-Hydroxyphenyl)lactate; C03672; C05582; C05583; C10447:3-(4-Hydroxyphenyl)lactate; Homovanillate; 3-Methoxy-4-hydroxyphenylglycolaldehyde; 3,4-Dihydroxyphenylpropanoate; C04044; C12622:3-(2,3-Dihydroxyphenyl)propanoate; cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol; C20953; C21085:3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate; 3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate; C05582; C05583:Homovanillate; 3-Methoxy-4-hydroxyphenylglycolaldehyde","","C9 H10 O4","182.05785","3.518","Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Degradation of aromatic compounds;Phenylalanine metabolism;Other","C9 H10 O4_ppm:-0.3_Ifit:97MatchedIso.:2","","","PutID_KEGG_C05582:Homovanillate; C03672:3-(4-Hydroxyphenyl)lactate; C03672; C05582; C05583; C10447:3-(4-Hydroxyphenyl)lactate; Homovanillate; 3-Methoxy-4-hydroxyphenylglycolaldehyde; 3,4-Dihydroxyphenylpropanoate; C04044; C12622:3-(2,3-Dihydroxyphenyl)propanoate; cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol; C20953; C21085:3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate; 3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate; C05582; C05583:Homovanillate; 3-Methoxy-4-hydroxyphenylglycolaldehyde","PutID_ChemS_9010_:UNII:EP7PS9S776_ppm:0; 3245_:Flopropione_ppm:0; 141092_:Homoisovanillic acid_ppm:0; 6616_:Glycol salicylate_ppm:0; 308986_:Hydrocaffeate_ppm:0; 62289_:Ubiquinone Q0_ppm:0; 14381_:2,6-Dimethoxybenzoic acid_ppm:0; 6854_:3,4-Dimethoxybenzoic acid_ppm:0; 8333_:Syringaldehyde_ppm:0; 1675_:Homovanillic acid_ppm:0","PutID_BioCyc_syringaldehyde_ID:CPD-17106_ppm:-0.296; 3-methoxy-4-hydroxyphenylglycolaldehyde_ID:CPD-11876_ppm:-0.296; ubiquinone-0_ID:CPD0-1464_ppm:-0.296; (2R,6Z)-2-hydroxy-6-(hydroxymethylidene)-2,5-dimethylcyclohex-4-ene-1,3-dione_ID:CPD-18147_ppm:-0.296","META:PWY-6342_noradrenaline and adrenaline degradation_ref:3-methoxy-4-hydroxyphenylglycolaldehyde_compoundUsed:9; META:PWY-7687_stipitatate biosynthesis_ref:(2R,6Z)-2-hydroxy-6-(hydroxymethylidene)-2,5-dimethylcyclohex-4-ene-1,3-dione_compoundUsed:46"
"1400","380.14067_3.522","PutID_ChemS_2084_:amosulalol_ppm:0","","C19 H20 N6 O S","380.14067","3.522","","C19 H25 O6 P_ppm:4.72_Ifit:94MatchedIso.:2; C11 H24 N8 O3 S2_ppm:-1.6_Ifit:56MatchedIso.:3; C19 H28 N2 S3_ppm:-2.08_Ifit:60MatchedIso.:3; C11 H26 N8 O P2 S_ppm:-4.95_Ifit:62MatchedIso.:3; C12 H25 N6 O4 P S_ppm:2.92_Ifit:66MatchedIso.:3; C20 H29 O P S2_ppm:2.43_Ifit:68MatchedIso.:3; C13 H21 N10 P S_ppm:-0.6_Ifit:70MatchedIso.:3; C16 H29 O6 P S_ppm:-4.15_Ifit:76MatchedIso.:3; C18 H24 N2 O5 S_ppm:0.2_Ifit:78MatchedIso.:3; C19 H20 N6 O S_ppm:-3.32_Ifit:79MatchedIso.:3","","","","PutID_ChemS_2084_:amosulalol_ppm:0","",""
"1401","414.11333_3.525","","","C14 H26 N2 O8 S2","414.11333","3.525","","C15 H27 O9 P S_ppm:4.8_Ifit:62MatchedIso.:3; C14 H28 N2 O6 P2 S_ppm:-2.43_Ifit:63MatchedIso.:3; C17 H27 N4 P S3_ppm:-0.53_Ifit:64MatchedIso.:3; C16 H31 O4 P S3_ppm:2.7_Ifit:67MatchedIso.:3; C15 H32 N2 O P2 S3_ppm:-4.52_Ifit:67MatchedIso.:3; C9 H23 N10 O3 P S2_ppm:-0.09_Ifit:68MatchedIso.:3; C18 H28 N2 O P2 S2_ppm:3.62_Ifit:73MatchedIso.:3; C15 H22 N6 O4 S2_ppm:-2.58_Ifit:76MatchedIso.:3; C16 H33 O2 P3 S2_ppm:-0.38_Ifit:78MatchedIso.:3; C14 H26 N2 O8 S2_ppm:0.65_Ifit:79MatchedIso.:3","","","","","",""
"1402","389.16072_3.527","","","C18 H28 Cl N O6","389.16072","3.527","","C14 H25 Cl2 N9_ppm:-0.71_Ifit:57MatchedIso.:4; C13 H29 Cl2 N5 O4_ppm:2.72_Ifit:58MatchedIso.:4; C11 H30 Cl N7 O2 P2_ppm:-4.51_Ifit:70MatchedIso.:4; C11 H28 Cl N7 O4 S_ppm:-1.24_Ifit:72MatchedIso.:4; C19 H32 Cl N O S2_ppm:-1.71_Ifit:73MatchedIso.:4; C13 H33 Cl N5 P S2_ppm:0.94_Ifit:76MatchedIso.:4; C12 H29 Cl N5 O5 P_ppm:3.18_Ifit:77MatchedIso.:4; C13 H25 Cl N9 O P_ppm:-0.26_Ifit:81MatchedIso.:4; C19 H24 Cl N5 O2_ppm:-2.91_Ifit:86MatchedIso.:4; C18 H28 Cl N O6_ppm:0.52_Ifit:89MatchedIso.:4","","","","","",""
"1403","198.06363_3.529","S_Cephalomannine","S_Cephalomannine","C8 H10 N2 O4","198.06363","3.529","Biosynthesis of antibiotics;Other","C8 H10 N2 O4_ppm:-2.16_Ifit:68MatchedIso.:4","PutID_Mz_Aliskiren_simScore:97.3; Erucamide_simScore:97.3; Oleamide_simScore:97.3; Orbencarb_simScore:97.3; Hydroxyacetildenafil_simScore:97.3; Propaquizafop_simScore:97.3; 1,3-Dimethyl-N-(3-morpholinopropyl)-4-nitro-1H-pyrazol-5-amine_simScore:97.4; Furaltadone_simScore:97.7; Cephalomannine_simScore:98.2; 5-Aminovaleric acid_score:88.2","","PutID_KEGG_C06660:Clavaminic acid","PutID_ChemS_4444464_:(2S,3E,5S)-3-(2-Aminoethylidene)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_ppm:0; 4573941_:(2S,3Z,5S)-3-(2-Aminoethylidene)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_ppm:0; 389405_:Mimosine_ppm:0","PutID_BioCyc_clavaminate_ID:CLAVAMINATE_ppm:-2.161","META:PWY-5679_clavulanate biosynthesis_ref:clavaminate_compoundUsed:59"
"1404","252.09962_3.531","S_Diethylstilbestrol","S_Diethylstilbestrol","C13 H16 O5","252.09962","3.531","","C7 H17 N4 O4 P_ppm:3.5_Ifit:62MatchedIso.:2; C8 H13 N8 P_ppm:-1.81_Ifit:71MatchedIso.:2; C14 H20 S2_ppm:-4.04_Ifit:79MatchedIso.:2; C13 H16 O5_ppm:-0.6_Ifit:83MatchedIso.:2","PutID_Mz_Diethylstilbestrol_simScore:99.8","","","PutID_ChemS_4476160_:1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione_ppm:0; 9218385_:2,4,6-Trihydroxy-3-methyl-5-(3-methylbutanoyl)benzaldehyde_ppm:0; 83439_:Trinexapac-ethyl_ppm:0; 643000_:Methyl 3,4,5-trimethoxycinnamate_ppm:0","",""
"1405","558.22084_3.535","PutID_ChemS_115748_:Olmesartan medoxomil_ppm:0.002","","C20 H38 N4 O12 S","558.22084","3.535","","C16 H36 N10 O8 P2_ppm:2.8_Ifit:82MatchedIso.:2; C23 H41 N6 O2 P3 S_ppm:-2.89_Ifit:57MatchedIso.:3; C25 H36 N8 O P2 S_ppm:0.07_Ifit:59MatchedIso.:3; C14 H39 N8 O11 P S_ppm:2.12_Ifit:60MatchedIso.:3; C27 H31 N10 P S_ppm:3.04_Ifit:61MatchedIso.:3; C22 H45 N2 O6 P3 S_ppm:-0.49_Ifit:68MatchedIso.:3; C19 H39 N6 O9 P S_ppm:-5.09_Ifit:72MatchedIso.:3; C24 H40 N4 O5 P2 S_ppm:2.47_Ifit:73MatchedIso.:3; C21 H34 N8 O8 S_ppm:-2.13_Ifit:74MatchedIso.:3; C20 H38 N4 O12 S_ppm:0.27_Ifit:84MatchedIso.:3","","","","PutID_ChemS_115748_:Olmesartan medoxomil_ppm:0.002","",""
"1406","284.10268_3.539","","","C11 H21 Cl O6","284.10268","3.539","","C13 H20 N2 O S2_ppm:3.45_Ifit:35MatchedIso.:2; C11 H25 O2 P S2_ppm:-2.37_Ifit:39MatchedIso.:2; C13 H12 N6 O2_ppm:1.8_Ifit:35MatchedIso.:2; C10 H21 O7 P_ppm:0.69_Ifit:85MatchedIso.:2; C11 H17 N4 O3 P_ppm:-4.02_Ifit:77MatchedIso.:2; C12 H25 Cl O S2_ppm:-2.99_Ifit:44MatchedIso.:5; C12 H17 Cl N4 O2_ppm:-4.64_Ifit:71MatchedIso.:5; C11 H21 Cl O6_ppm:0.07_Ifit:78MatchedIso.:4","","","","","",""
"1407","188.09445_3.541","S_N6-Acetyl-L-lysine","S_N6-Acetyl-L-lysine","C5 H13 N6 P","188.09445","3.541","Biosynthesis of alkaloids derived from shikimate pathway","C11 H12 N2 O_ppm:-2.71_Ifit:67MatchedIso.:2; C5 H13 N6 P_ppm:2.78_Ifit:86MatchedIso.:2","PutID_Mz_Spectinomycin_simScore:90.4; Glycyl-L-leucine_simScore:93.9; N6-Acetyl-L-lysine_score:88.2","","PutID_KEGG_C10733:Peganine","PutID_ChemS_391232_:(R)-1,2,3,9-Tetrahydropyrrolo(2,1-b)quinazolin-3-ol_ppm:0.001; 2121_:Phenazone_ppm:0.001","",""
"1408","123.07921_3.544","S_2-({2-[(1,3-Dimethyl-1H-pyrazol-5-yl)amino]-2-oxoethyl}sulfanyl)acetic acid","S_2-({2-[(1,3-Dimethyl-1H-pyrazol-5-yl)amino]-2-oxoethyl}sulfanyl)acetic acid","C6 H9 N3","123.07921","3.544","","C6 H9 N3_ppm:-3.55_Ifit:76MatchedIso.:4","PutID_Mz_Sebuthylazine-desethyl_simScore:94.5; N4-Acetyl sulfamethazine_simScore:96.7; N-(4-{[(4,6-Dimethyl-2-pyrimidinyl)amino]sulfonyl}phenyl)-1-phenyl-5-propyl-1H-pyrazole-4-carboxamide_simScore:97.6; Sulfamethazine_simScore:97.7; Sulfisomidine_simScore:97.8; N-(4,6-Dimethyl-2-pyrimidinyl)-4-({[2-(trifluoromethyl)anilino]carbonyl}amino)benzenesulfonamide_simScore:98; α-Methyl-DL-histidine_simScore:98; N3-(1,3,5-Trimethyl-1H-pyrazol-4-yl)-2,5-dichlorothiophene-3-sulfonamide_simScore:98.6; 2-({2-[(1,3-Dimethyl-1H-pyrazol-5-yl)amino]-2-oxoethyl}sulfanyl)acetic acid_simScore:98.9; 1,3,5-Trimethyl-4-[2-(1,3,5-trimethyl-1H-pyrazol-4-yl)diaz-1-enyl]-1H-pyrazole_simScore:98.9","","","","",""
